word,count,timestamp
2022,1436,2022-03-07 11:47:03.375325
february,1067,2022-03-07 11:47:03.375325
^,613,2022-03-07 11:47:03.375325
retrieved,494,2022-03-07 11:47:03.375325
march,469,2022-03-07 11:47:03.375325
archived,426,2022-03-07 11:47:03.375325
original,424,2022-03-07 11:47:03.375325
russian,352,2022-03-07 11:47:03.375325
ukraine,338,2022-03-07 11:47:03.375325
24,261,2022-03-07 11:47:03.375325
war,226,2022-03-07 11:47:03.375325
27,195,2022-03-07 11:47:03.375325
russia,190,2022-03-07 11:47:03.375325
26,190,2022-03-07 11:47:03.375325
1,184,2022-03-07 11:47:03.375325
25,181,2022-03-07 11:47:03.375325
invasion,143,2022-03-07 11:47:03.375325
ukrainian,127,2022-03-07 11:47:03.375325
28,112,2022-03-07 11:47:03.375325
military,97,2022-03-07 11:47:03.375325
"ukraine""",94,2022-03-07 11:47:03.375325
2,87,2022-03-07 11:47:03.375325
news,84,2022-03-07 11:47:03.375325
putin,80,2022-03-07 11:47:03.375325
3,79,2022-03-07 11:47:03.375325
–,76,2022-03-07 11:47:03.375325
4,75,2022-03-07 11:47:03.375325
2014,73,2022-03-07 11:47:03.375325
forces,66,2022-03-07 11:47:03.375325
times,61,2022-03-07 11:47:03.375325
2022,1436,2022-03-07 11:51:01.406468
february,1067,2022-03-07 11:51:01.406468
^,613,2022-03-07 11:51:01.406468
retrieved,494,2022-03-07 11:51:01.406468
march,469,2022-03-07 11:51:01.406468
archived,426,2022-03-07 11:51:01.406468
original,424,2022-03-07 11:51:01.406468
russian,352,2022-03-07 11:51:01.406468
ukraine,338,2022-03-07 11:51:01.406468
24,261,2022-03-07 11:51:01.406468
war,226,2022-03-07 11:51:01.406468
27,195,2022-03-07 11:51:01.406468
russia,190,2022-03-07 11:51:01.406468
26,190,2022-03-07 11:51:01.406468
1,184,2022-03-07 11:51:01.406468
25,181,2022-03-07 11:51:01.406468
invasion,143,2022-03-07 11:51:01.406468
ukrainian,127,2022-03-07 11:51:01.406468
28,112,2022-03-07 11:51:01.406468
military,97,2022-03-07 11:51:01.406468
"ukraine""",94,2022-03-07 11:51:01.406468
2,87,2022-03-07 11:51:01.406468
news,84,2022-03-07 11:51:01.406468
putin,80,2022-03-07 11:51:01.406468
3,79,2022-03-07 11:51:01.406468
–,76,2022-03-07 11:51:01.406468
4,75,2022-03-07 11:51:01.406468
2014,73,2022-03-07 11:51:01.406468
forces,66,2022-03-07 11:51:01.406468
times,61,2022-03-07 11:51:01.406468
2022,1437,2022-03-07 12:03:46.617964
february,1067,2022-03-07 12:03:46.617964
^,614,2022-03-07 12:03:46.617964
retrieved,494,2022-03-07 12:03:46.617964
march,469,2022-03-07 12:03:46.617964
archived,426,2022-03-07 12:03:46.617964
original,424,2022-03-07 12:03:46.617964
russian,351,2022-03-07 12:03:46.617964
ukraine,338,2022-03-07 12:03:46.617964
24,261,2022-03-07 12:03:46.617964
war,226,2022-03-07 12:03:46.617964
27,195,2022-03-07 12:03:46.617964
russia,192,2022-03-07 12:03:46.617964
26,190,2022-03-07 12:03:46.617964
1,185,2022-03-07 12:03:46.617964
25,181,2022-03-07 12:03:46.617964
invasion,143,2022-03-07 12:03:46.617964
ukrainian,127,2022-03-07 12:03:46.617964
28,112,2022-03-07 12:03:46.617964
military,97,2022-03-07 12:03:46.617964
"ukraine""",94,2022-03-07 12:03:46.617964
2,87,2022-03-07 12:03:46.617964
news,84,2022-03-07 12:03:46.617964
putin,80,2022-03-07 12:03:46.617964
3,79,2022-03-07 12:03:46.617964
–,76,2022-03-07 12:03:46.617964
4,75,2022-03-07 12:03:46.617964
2014,73,2022-03-07 12:03:46.617964
forces,65,2022-03-07 12:03:46.617964
times,61,2022-03-07 12:03:46.617964
