word,count,timestamp
stearate,29,2022-03-07 11:52:17.832163
emulsion,26,2022-03-07 11:52:17.832163
may,24,2022-03-07 11:52:17.832163
water,22,2022-03-07 11:52:17.832163
surfactant,21,2022-03-07 11:52:17.832163
oil,21,2022-03-07 11:52:17.832163
use,15,2022-03-07 11:52:17.832163
metal,13,2022-03-07 11:52:17.832163
make,13,2022-03-07 11:52:17.832163
dispersion,12,2022-03-07 11:52:17.832163
used,11,2022-03-07 11:52:17.832163
want,11,2022-03-07 11:52:17.832163
university,10,2022-03-07 11:52:17.832163
sodium,10,2022-03-07 11:52:17.832163
will,10,2022-03-07 11:52:17.832163
calcium,9,2022-03-07 11:52:17.832163
using,9,2022-03-07 11:52:17.832163
answersasked,9,2022-03-07 11:52:17.832163
18th,8,2022-03-07 11:52:17.832163
sobischlum,8,2022-03-07 11:52:17.832163
stable,8,2022-03-07 11:52:17.832163
high,8,2022-03-07 11:52:17.832163
29th,8,2022-03-07 11:52:17.832163
trying,7,2022-03-07 11:52:17.832163
required,7,2022-03-07 11:52:17.832163
suspension,7,2022-03-07 11:52:17.832163
prepare,7,2022-03-07 11:52:17.832163
liquid,7,2022-03-07 11:52:17.832163
19th,7,2022-03-07 11:52:17.832163
hlb,7,2022-03-07 11:52:17.832163
